Sport,Country,League,Total Records,Success Rate,Money Per Game,Kelly,Participants,Odds
soccer,sweden,division-2-ostra-gotaland,85,0.8118,0.1687,0.3741,Lunds - Nybro,1.43,4.46,5.28
soccer,brazil,serie-c,85,0.7882,0.1334,0.3646,Volta Redonda - Mogi Mirim,1.5,3.84,5.79
soccer,italy,serie-a,540,0.9111,0.1021,0.5407,AC Milan - Cagliari,1.24,6.41,13.37
rugby-league,australia,intrust-super-cup,175,0.7771,0.1019,0.3313,Sunshine Coast Falcons - Townsville,1.5,26,2.5
soccer,sweden,division-2-norra-svealand,137,0.7445,0.0509,0.1891,Aspudden Tellus - Habo,1.46,4.48,4.91
soccer,germany,oberliga-bayern-sud,55,0.7455,0.0304,0.2365,Schwabmunchen - Munich 1860 II,1.5,4.5,4.35
soccer,england,premier-league,583,0.7290,0.0285,0.1399,Chelsea - Everton,1.46,4.44,8.07
soccer,italy,serie-a,642,0.7368,0.0285,0.1101,Napoli - Atalanta,1.42,4.77,7.91
soccer,finland,veikkausliiga,233,0.7167,0.0201,0.1008,HJK - KuPS,1.46,4.28,6.92
soccer,peru,segunda-division,80,0.7250,0.0103,0.1272,Cienciano - Los Caimanes,1.46,3.99,6.12
soccer,peru,segunda-division,80,0.7250,0.0103,0.1000,Sport Boys - Carlos Manucci,1.44,4.05,6.3
