LeagueId,NoData,Bet,Score,AvgOdd
3452,162,1,0.6481481481481481,1.4109876543209876
3452,62,2,0.6290322580645161,1.4316129032258063
3206,21,1,0.7142857142857143,1.361904761904762
3206,19,2,0.8421052631578947,1.354736842105263
3006,75,1,0.7333333333333333,1.3543999999999998
3006,49,2,0.673469387755102,1.3712244897959183
3026,503,1,0.7176938369781312,1.3635984095427436
3026,213,2,0.6901408450704225,1.379718309859155
2112,35,1,0.6571428571428571,1.3545714285714285
2112,6,2,0.6666666666666666,1.4316666666666666
1970,4,1,0.5,1.3525
1970,6,2,0.8333333333333334,1.3666666666666665
3720,30,1,0.7666666666666667,1.3730000000000002
3720,19,2,0.5789473684210527,1.34
2024,52,1,0.5384615384615384,1.3686538461538462
2024,7,2,0.8571428571428571,1.44
3488,173,1,0.7052023121387283,1.3484971098265897
3488,134,2,0.6567164179104478,1.3517164179104477
2795,184,1,0.6956521739130435,1.3697282608695653
2795,25,2,0.52,1.3752000000000002
2171,29,1,0.5517241379310345,1.3824137931034486
2171,12,2,0.8333333333333334,1.3625
2422,31,1,0.7741935483870968,1.3496774193548386
2422,27,2,0.8148148148148148,1.3585185185185182
3047,29,1,0.5862068965517241,1.366551724137931
3047,6,2,0.8333333333333334,1.3849999999999998
2914,6,1,0.6666666666666666,1.3633333333333333
2914,1,2,1.0,1.46
2728,320,1,0.6875,1.3703125
2728,226,2,0.7300884955752213,1.379690265486726
2577,5,1,0.8,1.3719999999999999
2577,1,2,1.0,1.45
3864,46,1,0.6739130434782609,1.3780434782608695
3864,6,2,0.6666666666666666,1.4033333333333333
2814,9,1,0.5555555555555556,1.3733333333333333
2814,7,2,0.7142857142857143,1.3671428571428572
3748,20,1,0.9,1.331
3748,15,2,0.4666666666666667,1.3739999999999997
3380,102,1,0.6666666666666666,1.3965686274509803
3380,1,2,1.0,1.41
2727,131,1,0.7251908396946565,1.3636641221374044
2727,33,2,0.696969696969697,1.3481818181818181
2314,12,1,0.5833333333333334,1.3516666666666666
2866,26,1,0.8461538461538461,1.37
2866,3,2,0.6666666666666666,1.4066666666666665
2911,135,1,0.7407407407407407,1.3583703703703702
2911,11,2,0.7272727272727273,1.3945454545454545
3453,79,1,0.7341772151898734,1.4222784810126583
3453,11,2,0.7272727272727273,1.4036363636363636
3319,19,1,0.6842105263157895,1.3457894736842106
3319,9,2,0.7777777777777778,1.3255555555555556
2823,8,1,0.625,1.35625
