Monaco - AEK Athens&nbsp;,1.33,1
Avellino - Venezia&nbsp;,1.35,0
Tenerife - PAOK&nbsp;,1.09,1
Besiktas - Pinar Karsiyaka&nbsp;,1.2,0
Neptunas - Ludwigsburg&nbsp;,1.28,1
Lyon-Villeurbanne - Aris&nbsp;,1.36,1
Le Mans - Sassari&nbsp;,1.32,0
Banvit - Oldenburg&nbsp;,1.21,1
Sassari - Le Mans&nbsp;,1.34,1
Ludwigsburg - Neptunas&nbsp;,1.36,1
PAOK - Tenerife&nbsp;,1.35,0
Strasbourg - Aris&nbsp;,1.29,1
Venezia - Ventspils&nbsp;,1.18,1
Ludwigsburg - Maccabi Rishon&nbsp;,1.26,1
Oldenburg - Saratov&nbsp;,1.28,1
AEK Athens - Juventus&nbsp;,1.13,1
Nymburk - Sassari&nbsp;,1.21,1
Pinar Karsiyaka - Frankfurt&nbsp;,1.15,1
Sassari - Nymburk&nbsp;,1.43,1
PAOK - Partizan&nbsp;,1.46,0
Juventus - AEK Athens&nbsp;,1.47,1
Aris - Strasbourg&nbsp;,1.42,1
Ventspils - Venezia&nbsp;,1.44,1
Avellino - Juventus,1.12,1
Mega Leks - Tenerife,1.38,1
Mornar Bar - Strasbourg,1.32,1
Bakken Bears - Banvit,1.11,1
Frankfurt - Ironi Nahariya,1.47,1
Tenerife - Banvit,1.45,1
Monaco - Venezia,1.25,1
Tenerife - Venezia,1.15,1
Tenerife - Lyon-Villeurbanne&nbsp;,1.22,1
Venezia - Pinar Karsiyaka&nbsp;,1.43,1
Monaco - Sassari&nbsp;,1.15,1
Pinar Karsiyaka - Venezia&nbsp;,1.22,1
Banvit - Ludwigsburg&nbsp;,1.19,0
Monaco - AEK Athens&nbsp;,1.33,1
Avellino - Venezia&nbsp;,1.35,0
Tenerife - PAOK&nbsp;,1.09,1
Besiktas - Pinar Karsiyaka&nbsp;,1.2,0
Neptunas - Ludwigsburg&nbsp;,1.28,1
Lyon-Villeurbanne - Aris&nbsp;,1.36,1
Le Mans - Sassari&nbsp;,1.32,0
Banvit - Oldenburg&nbsp;,1.21,1
Sassari - Le Mans&nbsp;,1.34,1
Ludwigsburg - Neptunas&nbsp;,1.36,1
PAOK - Tenerife&nbsp;,1.35,0
Strasbourg - Aris&nbsp;,1.29,1
Venezia - Ventspils&nbsp;,1.18,1
Ludwigsburg - Maccabi Rishon&nbsp;,1.26,1
Oldenburg - Saratov&nbsp;,1.28,1
AEK Athens - Juventus&nbsp;,1.13,1
Nymburk - Sassari&nbsp;,1.21,1
Pinar Karsiyaka - Frankfurt&nbsp;,1.15,1
Sassari - Nymburk&nbsp;,1.43,1
PAOK - Partizan&nbsp;,1.46,0
Juventus - AEK Athens&nbsp;,1.47,1
Aris - Strasbourg&nbsp;,1.42,1
Ventspils - Venezia&nbsp;,1.44,1
Avellino - Juventus,1.12,1
Mega Leks - Tenerife,1.38,1
Mornar Bar - Strasbourg,1.32,1
Bakken Bears - Banvit,1.11,1
Frankfurt - Ironi Nahariya,1.47,1
Tenerife - Banvit,1.45,1
Monaco - Venezia,1.25,1
Tenerife - Venezia,1.15,1
Tenerife - Lyon-Villeurbanne&nbsp;,1.22,1
Venezia - Pinar Karsiyaka&nbsp;,1.43,1
Monaco - Sassari&nbsp;,1.15,1
Pinar Karsiyaka - Venezia&nbsp;,1.22,1
Banvit - Ludwigsburg&nbsp;,1.19,0
Monaco - AEK Athens&nbsp;,1.33,1
Avellino - Venezia&nbsp;,1.35,0
Tenerife - PAOK&nbsp;,1.09,1
Besiktas - Pinar Karsiyaka&nbsp;,1.2,0
Neptunas - Ludwigsburg&nbsp;,1.28,1
Lyon-Villeurbanne - Aris&nbsp;,1.36,1
Le Mans - Sassari&nbsp;,1.32,0
Banvit - Oldenburg&nbsp;,1.21,1
Sassari - Le Mans&nbsp;,1.34,1
Ludwigsburg - Neptunas&nbsp;,1.36,1
PAOK - Tenerife&nbsp;,1.35,0
Strasbourg - Aris&nbsp;,1.29,1
Venezia - Ventspils&nbsp;,1.18,1
Ludwigsburg - Maccabi Rishon&nbsp;,1.26,1
Oldenburg - Saratov&nbsp;,1.28,1
AEK Athens - Juventus&nbsp;,1.13,1
Nymburk - Sassari&nbsp;,1.21,1
Pinar Karsiyaka - Frankfurt&nbsp;,1.15,1
Sassari - Nymburk&nbsp;,1.43,1
PAOK - Partizan&nbsp;,1.46,0
Juventus - AEK Athens&nbsp;,1.47,1
Aris - Strasbourg&nbsp;,1.42,1
Ventspils - Venezia&nbsp;,1.44,1
Avellino - Juventus,1.12,1
Mega Leks - Tenerife,1.38,1
Mornar Bar - Strasbourg,1.32,1
Bakken Bears - Banvit,1.11,1
Frankfurt - Ironi Nahariya,1.47,1
